Customer ID,Customer Name,Last Name,Date of Birth,Segment
CUST000046,Joshua,Welch,5/8/2003,Consumer
CUST000047,Victoria,Lang,7/6/1951,Corporate
CUST000048,Amy,Armstrong,3/14/1966,Consumer
CUST000049,Amber,Ramirez,4/25/1979,Consumer
CUST000050,Patrick,Hickman,1/30/2012,Corporate
CUST000051,Misty,Fletcher,10/30/1956,Consumer
CUST000052,Michelle,Lozano,7/20/1971,Corporate
CUST000053,Kristen,Yang,7/6/1981,Consumer
CUST000054,Michael,Ortega,9/19/2003,Corporate
CUST000055,Nancy,Wilson,10/19/1974,Corporate
CUST000056,Jay,Bell,6/18/1983,Corporate
CUST000057,John,Miles,3/14/1999,Consumer
CUST000058,Courtney,Mejia,9/14/1958,Consumer
CUST000059,Sharon,Gonzalez,3/8/2001,Corporate
CUST000060,Thomas,Hill,2/23/1962,Corporate
CUST000061,Jeffrey,Lopez,10/15/2000,Corporate
CUST000062,Chad,Holmes,3/10/1981,Consumer
CUST000063,Laura,Koch,6/15/1999,Corporate
CUST000064,Laura,Johnson,4/6/1961,Consumer
CUST000065,Daniel,Clark,4/2/1973,Consumer
CUST000066,Katherine,Clark,7/13/1966,Consumer
CUST000067,Dustin,Bryant,5/14/1981,Corporate
CUST000068,Victor,Hall,2/9/2009,Consumer
CUST000069,Rebecca,Lawrence,5/14/2005,Corporate
CUST000070,Kara,Galvan,3/20/1970,Corporate
CUST000071,Anthony,Fox,11/1/1994,Corporate
CUST000072,Teresa,Adams,11/4/1954,Corporate
CUST000073,Evelyn,Parker,10/16/1978,Corporate
CUST000074,Elizabeth,Hammond,10/13/1988,Corporate
CUST000075,Denise,Lynch,2/24/1958,Consumer
CUST000076,Carrie,Nguyen,12/3/1988,Corporate
CUST000077,Danielle,Ramirez,12/27/1995,Consumer
CUST000078,Jennifer,Cox,11/22/1980,Corporate
CUST000079,Anita,Smith,12/15/2005,Corporate
CUST000080,John,Williams,4/3/1954,Corporate
CUST000081,Karen,Browning,6/23/1989,Corporate
CUST000082,Kathryn,Lee,3/2/2009,Consumer
CUST000083,John,May,10/9/1957,Corporate
CUST000084,Michael,King,4/16/1989,Consumer
CUST000085,Jessica,Ruiz,8/17/1981,Consumer
CUST000086,Carlos,Moore,9/19/2007,Corporate
CUST000087,Tiffany,Bautista,10/3/2003,Corporate
CUST000088,David,Eaton,8/9/1985,Consumer
CUST000089,Jose,Carrillo,9/28/2014,Consumer
CUST000090,Matthew,Lucero,3/30/1985,Corporate
CUST000091,Rebekah,Hill,3/6/1962,Consumer
CUST000092,Todd,Chapman,8/17/2002,Consumer
CUST000093,Samantha,Martinez,2/16/2002,Corporate
CUST000094,Angela,Brown,6/7/1996,Corporate
CUST000095,Lauren,Reed,7/10/1962,Corporate
CUST000096,Sandra,Hubbard,12/8/2001,Corporate
CUST000097,Marcus,Barker,4/23/1984,Corporate
CUST000098,Kimberly,Mccall,4/23/2001,Consumer
CUST000099,Karen,Mason,7/16/1954,Corporate
CUST000100,Sharon,Rangel,4/28/2017,Corporate
CUST000101,Jack,Duncan,6/3/1973,Corporate
CUST000102,Katie,Mccormick,1/2/1977,Consumer
CUST000103,Steven,Jones,7/23/2003,Consumer
CUST000104,Kaitlin,Brooks,8/1/1978,Consumer
CUST000105,Cindy,Lopez,12/11/1990,Corporate
CUST000106,Erin,Liu,10/2/1958,Corporate
CUST000107,Veronica,Jefferson,9/27/2014,Corporate
CUST000108,Mary,Jones,4/11/1960,Consumer
CUST000109,Catherine,Johnson,10/8/1961,Corporate
CUST000110,James,Velazquez,9/19/2000,Consumer
CUST000111,Julia,Holmes,11/7/1970,Consumer
CUST000112,Shannon,Black,2/14/1951,Corporate
CUST000113,Cassandra,Lee,6/25/1978,Consumer
CUST000114,Dennis,Webb,5/19/1963,Corporate
CUST000115,Angela,Rodriguez,4/9/1991,Corporate
CUST000116,Stacey,Frazier,4/29/1951,Corporate
CUST000117,Adrienne,Terry,7/30/1990,Consumer
CUST000118,Amanda,Vance,9/18/1956,Corporate
CUST000119,Shelby,Zimmerman,8/7/2009,Corporate
CUST000120,Janice,Hardy,3/24/1994,Corporate
CUST000121,Michelle,Lopez,2/26/1976,Consumer
CUST000122,Joshua,Mercado,2/6/1973,Consumer
CUST000123,Chelsea,Herrera,6/3/1979,Consumer
CUST000124,Tom,Hill,8/22/1987,Corporate
CUST000125,Zachary,Elliott,10/23/2002,Corporate
CUST000126,Michelle,Hayes,10/31/2014,Consumer
CUST000127,Amy,Riggs,10/21/1972,Corporate
CUST000128,Olivia,Acosta,8/10/1960,Corporate
CUST000129,Teresa,Larson,8/25/2003,Consumer
CUST000130,Travis,Williams,4/11/2014,Consumer
CUST000131,Kimberly,James,5/31/1995,Consumer
CUST000132,Gerald,Morales,6/29/2011,Corporate
CUST000133,Edward,Bruce,3/29/1985,Corporate
CUST000134,Cody,Hamilton,11/27/1991,Consumer
CUST000135,Eric,Noble,12/31/1952,Consumer
CUST000136,Sarah,Robinson,1/20/1994,Consumer
CUST000137,Michelle,Lara,1/27/1981,Corporate
CUST000138,Corey,Garcia,5/29/1964,Corporate
CUST000139,Erik,Weber,5/22/2009,Corporate
CUST000140,Heidi,Diaz,1/23/1972,Consumer
CUST000141,Cynthia,Young,7/13/1986,Consumer
CUST000142,Todd,Conley,5/11/1950,Corporate
CUST000143,Taylor,Parsons,12/19/1999,Consumer
CUST000144,Tonya,Wolf,7/17/2014,Consumer
CUST000145,Abigail,Reid,11/20/1959,Corporate
CUST000146,Veronica,Parker,8/20/1968,Corporate
CUST000147,Steven,Mcdaniel,12/27/2011,Consumer
CUST000148,Megan,Boyd,4/21/1961,Consumer
CUST000149,Anthony,Morales,11/8/1986,Corporate
CUST000150,Michael,Roach,4/14/1963,Consumer
CUST000151,Derek,Hansen,12/23/1995,Consumer
CUST000152,Denise,Thomas,6/1/1973,Consumer
CUST000153,James,Phillips,7/9/1968,Corporate
CUST000154,Nichole,Ellis,12/11/1976,Corporate
CUST000155,David,Davis,10/26/1956,Consumer
CUST000156,Tina,Woodward,5/19/1985,Corporate
CUST000157,Brian,Jones,10/15/1989,Corporate
CUST000158,Gabrielle,Sanchez,6/24/1966,Corporate
CUST000159,Michael,Barrera,12/15/1990,Corporate
CUST000160,Amber,Clark,1/19/1994,Consumer
CUST000161,Christopher,Wagner,11/12/1967,Corporate
CUST000162,Stacey,Kim,3/8/1989,Consumer
CUST000163,Taylor,Schmidt,10/8/1979,Corporate
CUST000164,Autumn,Allen,11/16/1998,Corporate
CUST000165,Mary,Cline,4/14/1969,Consumer
CUST000166,Dakota,Mcneil,6/21/1993,Consumer
CUST000167,Madison,Simpson,2/6/1975,Consumer
CUST000168,Carrie,Hickman,1/27/1974,Consumer
CUST000169,George,Newman,4/19/2017,Consumer
CUST000170,Emily,Holden,9/22/1979,Corporate
CUST000171,Joseph,Hall,6/25/2014,Corporate
CUST000172,Brian,Stafford,12/21/1966,Corporate
CUST000173,William,Kent,6/3/1977,Corporate
CUST000174,Cynthia,Cochran,2/14/2006,Corporate
CUST000175,Christopher,Lindsey,1/4/1964,Consumer
CUST000176,Leslie,Russell,4/10/1960,Consumer
CUST000177,Harold,Hanson,2/26/1998,Consumer
CUST000178,Dominique,Williams,3/8/2017,Consumer
CUST000179,Holly,Prince,12/11/1959,Corporate
CUST000180,Donald,Russell,4/20/2008,Consumer
CUST000181,Gerald,Welch,5/12/1959,Consumer
CUST000182,Connie,Smith,1/13/1962,Corporate
CUST000183,Sean,Tucker,9/7/1958,Corporate
CUST000184,Douglas,West,4/8/1995,Consumer
CUST000185,Cynthia,Nguyen,2/28/1987,Consumer
CUST000186,Andres,Obrien,10/28/1951,Consumer
CUST000187,Sarah,Lewis,3/27/1950,Consumer
CUST000188,Debra,Barajas,12/27/2012,Consumer
CUST000189,Justin,Rodriguez,9/29/2008,Corporate
CUST000190,Joshua,Miller,6/16/1985,Consumer
CUST000191,Amanda,Burns,4/20/2008,Corporate
CUST000192,Karen,Combs,4/5/2014,Corporate
CUST000193,Tiffany,Kennedy,2/3/1985,Consumer
CUST000194,Pamela,Blake,5/25/1966,Corporate
CUST000195,Janet,Yates,5/19/2006,Consumer
CUST000196,Molly,Rasmussen,3/12/1970,Corporate
CUST000197,Desiree,Curtis,8/9/1971,Corporate
CUST000198,Christian,Ellison,11/20/1986,Consumer
CUST000199,Rachel,Adams,9/1/1964,Corporate
CUST000200,Morgan,Parsons,8/12/1998,Consumer
CUST000201,Brittney,Evans,12/6/1972,Consumer
CUST000202,Sarah,Rogers,3/29/1953,Consumer
CUST000203,Sherry,Powers,1/27/1974,Corporate
CUST000204,Joseph,Cox,3/29/1962,Consumer
CUST000205,Rhonda,Campbell,10/19/1992,Corporate
CUST000206,April,Jones,7/13/1962,Consumer
CUST000207,Samuel,Archer,12/12/1958,Consumer
CUST000208,Paul,Wolf,2/12/1985,Corporate
CUST000209,Sara,Marquez,8/7/2010,Corporate
CUST000210,Marvin,Price,3/12/2000,Consumer
CUST000211,Jill,Bruce,8/15/2007,Consumer
CUST000212,Eileen,Rosales,12/14/1957,Corporate
CUST000213,Bradley,Hughes,1/6/1951,Corporate
CUST000214,Keith,White,4/20/1979,Consumer
CUST000215,Tina,Gibson,6/2/1964,Corporate
CUST000216,Matthew,Diaz,7/10/1970,Consumer
CUST000217,Margaret,Garrison,7/27/1957,Corporate
CUST000218,Joseph,Espinoza,10/16/1988,Corporate
CUST000219,Jonathan,Byrd,7/13/1950,Corporate
CUST000220,Tyler,Bryant,9/15/2005,Corporate
CUST000221,Craig,Benson,2/1/1978,Consumer
CUST000222,James,Taylor,4/21/1951,Consumer
CUST000223,Marissa,Mckenzie,2/27/2010,Corporate
CUST000224,Janice,Jones,5/29/2013,Consumer
CUST000225,Tammy,Wilson,6/27/1963,Corporate
CUST000226,Matthew,Mercer,8/5/1988,Consumer
CUST000227,Jeffrey,Hart,10/29/1950,Corporate
CUST000228,Karen,Hunter,3/23/1970,Corporate
CUST000229,Jason,Macdonald,7/20/1995,Consumer
CUST000230,Tiffany,Miller,1/12/1998,Corporate
CUST000231,Donna,Anderson,7/26/2000,Corporate
CUST000232,Kelly,Ramsey,12/12/1979,Corporate
CUST000233,Michelle,Ortega,8/22/2011,Consumer
CUST000234,Michael,Griffin,7/12/1969,Corporate
CUST000235,James,Norton,1/21/2007,Corporate
CUST000236,Jeffrey,Scott,9/24/1986,Corporate
CUST000237,Amanda,Gomez,10/2/2007,Consumer
CUST000238,Jimmy,Davies,6/30/1993,Consumer
CUST000239,Benjamin,Sosa,6/10/1973,Consumer
CUST000240,Lori,Richmond,7/6/2012,Corporate
CUST000241,Stephanie,Barrera,10/23/1951,Consumer
CUST000242,Joshua,Tran,12/20/1986,Consumer
CUST000243,Gary,Greer,8/29/2009,Corporate
CUST000244,Jose,Bailey,11/29/1996,Consumer
CUST000245,Julie,Mcdonald,1/7/1997,Corporate
CUST000246,James,Black,1/29/2017,Corporate
CUST000247,Michael,Scott,5/2/1958,Corporate
CUST000248,Cynthia,Wilson,3/29/1964,Corporate
CUST000249,Donald,Medina,4/15/1964,Corporate
CUST000250,Michael,Wilson,4/7/1977,Corporate
CUST000251,Amber,Wade,5/2/1996,Consumer
CUST000252,Julie,Chavez,5/19/1970,Corporate
CUST000253,Mark,Pineda,11/9/1950,Corporate
CUST000254,Kathleen,Kirby,4/22/2010,Consumer
CUST000255,Lindsey,Mercer,4/18/1987,Corporate
CUST000256,Anna,Mccoy,11/26/1999,Corporate
CUST000257,Robin,White,2/5/1995,Corporate
CUST000258,Karen,Moore,7/26/2014,Consumer
CUST000259,Dustin,Carrillo,10/21/2009,Consumer
CUST000260,Jessica,Decker,1/23/2011,Corporate
CUST000261,James,Miller,1/3/1950,Corporate
CUST000262,Calvin,Mullins,9/15/1975,Consumer
CUST000263,Karen,Johnson,8/9/1973,Corporate
CUST000264,Anthony,Brown,6/21/1990,Consumer
CUST000265,Patricia,Garcia,4/6/1984,Corporate
CUST000266,Jimmy,Bailey,3/6/2011,Corporate
CUST000267,Todd,Adams,10/16/1981,Corporate
CUST000268,Alyssa,Waters,9/15/1981,Consumer
CUST000269,Antonio,Cook,12/17/2008,Consumer
CUST000270,Kelly,Thompson,11/15/1967,Corporate
CUST000271,Nicole,Ramirez,8/22/2010,Consumer
CUST000272,Maria,Proctor,6/7/1979,Consumer
CUST000273,Austin,Le,8/27/1954,Consumer
CUST000274,Carolyn,Walters,4/4/1979,Corporate
CUST000275,Dominique,Diaz,11/11/1992,Corporate
CUST000276,Matthew,Johnson,9/16/1966,Corporate
CUST000277,Jeremy,Huang,9/17/1981,Corporate
CUST000278,Maria,Davis,3/3/1952,Corporate
CUST000279,Barbara,Calderon,2/2/2000,Corporate
CUST000280,Kyle,Robinson,6/6/1977,Corporate
CUST000281,Eric,Holt,12/26/2016,Consumer
CUST000282,Robert,Miller,6/6/1984,Corporate
CUST000283,Matthew,Oliver,10/6/1972,Corporate
CUST000284,Kristina,Poole,8/30/1970,Consumer
CUST000285,Aaron,Little,12/13/2011,Corporate
CUST000286,Randall,Lopez,5/11/1988,Corporate
CUST000287,Stephen,Ortiz,7/14/1992,Consumer
CUST000288,Mary,Powell,1/16/1996,Consumer
CUST000289,Gina,Mckinney,12/2/1992,Corporate
CUST000290,Daniel,Thomas,5/4/1957,Consumer
CUST000291,Joyce,Gonzalez,3/19/1996,Corporate
CUST000292,Joseph,Stewart,7/10/1953,Consumer
CUST000293,David,Jackson,10/8/1984,Corporate
CUST000294,Luke,Cuevas,12/21/1950,Consumer
CUST000295,Mark,Murphy,6/19/1991,Consumer
CUST000296,Stephen,Smith,7/19/1986,Corporate
CUST000297,Carlos,Thompson,6/19/1984,Consumer
CUST000298,Randall,Johnson,9/21/1992,Corporate
CUST000299,Debbie,Jacobs,11/30/1997,Consumer
CUST000300,Robert,Smith,2/20/1988,Corporate
CUST000301,Stephanie,Bentley,9/24/1977,Corporate
CUST000302,Robert,Harrison,2/17/1950,Consumer
CUST000303,Charles,Gill,11/29/2015,Consumer
CUST000304,Christopher,Johnson,9/30/2013,Consumer
CUST000305,Matthew,Thompson,8/2/1961,Corporate
CUST000306,Zachary,Ortiz,3/28/1961,Consumer
CUST000307,Phillip,Hill,7/27/1959,Consumer
CUST000308,Melvin,Gross,6/5/2014,Consumer
CUST000309,Crystal,Blanchard,1/2/1993,Consumer
CUST000310,Anthony,Clarke,1/26/1956,Consumer
CUST000311,Edward,Copeland,7/10/1954,Consumer
CUST000312,Mark,Mcpherson,6/9/1956,Consumer
CUST000313,Danny,Bender,12/18/1989,Corporate
CUST000314,Chelsey,Garcia,7/3/1992,Consumer
CUST000315,Douglas,Wilson,9/4/2015,Consumer
CUST000316,Victor,Clayton,4/19/1994,Consumer
CUST000317,Darrell,Thompson,7/7/1974,Corporate
CUST000318,Dylan,Anderson,1/3/1991,Consumer
CUST000319,Donald,Mason,9/30/1964,Corporate
CUST000320,Tyler,James,6/10/1972,Corporate
CUST000321,Andrew,Smith,2/15/1965,Consumer
CUST000322,Larry,Williams,8/9/1966,Consumer
CUST000323,Robert,Lucas,6/17/1997,Corporate
CUST000324,Phillip,Lee,5/28/1960,Consumer
CUST000325,Chase,Smith,1/30/1960,Corporate
CUST000326,Stephanie,Cole,7/23/2009,Consumer
CUST000327,Natalie,Wilson,6/2/2015,Corporate
CUST000328,Susan,Fox,7/17/1994,Corporate
CUST000329,Brenda,Mcdaniel,1/4/1996,Consumer
CUST000330,Richard,Key,3/25/1961,Consumer
CUST000331,Belinda,Atkins,10/26/1965,Corporate
CUST000332,Laurie,Green,4/20/1976,Corporate
CUST000333,Darryl,Hayes,9/4/1958,Corporate
CUST000334,Cassandra,Stevens,3/25/1981,Consumer
CUST000335,Zachary,Cooley,2/24/2000,Corporate
CUST000336,Heather,Burton,5/18/1969,Consumer
CUST000337,Jasmine,Adams,2/3/1951,Corporate
CUST000338,Michael,Davis,5/30/2015,Consumer
CUST000339,Alyssa,Bowen,1/12/1978,Corporate
CUST000340,Jason,Green,4/21/1990,Consumer
CUST000341,Angela,Lee,4/15/2001,Corporate
CUST000342,Casey,Jenkins,4/23/1997,Consumer
CUST000343,Kathleen,Trevino,7/20/2000,Corporate
CUST000344,Joseph,Brown,7/15/2009,Corporate
CUST000345,Michael,Clements,9/4/2015,Consumer
CUST000346,Shannon,Morales,5/4/1988,Consumer
CUST000347,Roger,Lewis,4/27/1992,Corporate
CUST000348,Ashley,Benjamin,8/2/1951,Corporate
CUST000349,Amber,Jones,6/1/1964,Corporate
CUST000350,Tina,Mclaughlin,4/8/1993,Consumer
CUST000351,Tina,Lynch,9/4/2000,Corporate
CUST000352,Ryan,Jackson,6/28/1960,Consumer
CUST000353,Steven,Ward,8/25/2005,Consumer
CUST000354,Elizabeth,Johnson,8/20/1969,Consumer
CUST000355,Hannah,Coleman,2/26/2017,Consumer
CUST000356,Christopher,Garrison,1/20/2008,Consumer
CUST000357,Christopher,Pena,11/2/2016,Consumer
CUST000358,Bradley,Graham,11/29/1963,Corporate
CUST000359,Linda,Andrade,5/18/1990,Corporate
CUST000360,Adrian,Robinson,7/21/1970,Consumer
CUST000361,Michael,Parks,12/29/1991,Corporate
CUST000362,Joseph,Thomas,9/24/2004,Corporate
CUST000363,Sergio,Camacho,7/5/1971,Consumer
CUST000364,Tommy,Mcconnell,3/6/1965,Corporate
CUST000365,Michelle,Weiss,7/15/1993,Corporate
CUST000366,Brandon,Jackson,6/29/2016,Consumer
CUST000367,James,Perez,1/28/1966,Consumer
CUST000368,Julie,Torres,8/30/1971,Corporate
CUST000369,Jeanette,Ortiz,6/27/2010,Consumer
CUST000370,Vanessa,Everett,5/16/1974,Corporate
CUST000371,Denise,Rodriguez,10/24/1952,Corporate
CUST000372,Kimberly,Ortiz,5/29/2000,Consumer
CUST000373,Courtney,Gibson,2/2/2004,Consumer
CUST000374,William,Wright,9/8/1959,Corporate
CUST000375,Michael,Mendez,8/12/1991,Consumer
CUST000376,Ivan,Blair,6/11/1974,Consumer
CUST000377,Alex,Lewis,10/9/1970,Corporate
CUST000378,Andrea,Johnson,12/16/1980,Consumer
CUST000379,Alexandra,Sanders,5/31/1997,Consumer
CUST000380,Thomas,Garcia,3/3/2013,Corporate
CUST000381,Alan,Jones,1/29/2004,Consumer
CUST000382,Victor,Reyes,12/31/1979,Corporate
CUST000383,Michael,Wells,5/10/1996,Corporate
CUST000384,Thomas,Cain,2/12/1954,Corporate
CUST000385,Jamie,Olson,5/25/1993,Corporate
CUST000386,Andrea,Jordan,3/13/1958,Consumer
CUST000387,Michael,Mays,12/3/2009,Consumer
CUST000388,Nicole,Turner,5/2/1971,Consumer
CUST000389,Mathew,Fischer,9/6/1959,Consumer
CUST000390,Kenneth,Brown,12/23/1984,Consumer
CUST000391,Robert,Obrien,7/14/1965,Consumer
CUST000392,Garrett,Trujillo,5/13/1994,Corporate
CUST000393,Dean,Strong,1/19/1970,Corporate
CUST000394,Jill,Marsh,10/16/1992,Corporate
CUST000395,Danielle,Brown,12/27/1975,Corporate
CUST000396,Tanya,Wilkinson,5/26/2000,Corporate
CUST000397,Louis,Oneal,10/3/1986,Corporate
CUST000398,Kelly,Silva,7/9/1962,Corporate
CUST000399,Cynthia,Smith,9/7/1991,Consumer
CUST000400,Todd,Dougherty,5/19/2008,Consumer
CUST000401,Denise,Paul,8/25/2002,Corporate
CUST000402,Ashley,Mccoy,12/2/1970,Corporate
CUST000403,Garrett,Chen,5/11/1952,Consumer
CUST000404,Joanne,Reid,3/3/1969,Corporate
CUST000405,Deborah,Hamilton,6/26/1982,Corporate
CUST000406,Cheryl,Murray,10/3/1969,Consumer
CUST000407,Todd,Huffman,7/9/1954,Corporate
CUST000408,Stephen,Ruiz,12/13/2009,Corporate
CUST000409,Arthur,Hernandez,7/14/1981,Consumer
CUST000410,Jeffrey,Silva,8/31/1965,Consumer
CUST000411,Richard,Howell,6/13/1951,Consumer
CUST000412,Kimberly,Bernard,1/12/2008,Corporate
CUST000413,Craig,Bowers,4/27/2017,Corporate
CUST000414,Frank,Barber,3/9/2018,Consumer
CUST000415,Rodney,Williams,2/8/2008,Corporate
CUST000416,Brian,Lee,7/3/2002,Consumer
CUST000417,Adrian,Whitaker,7/14/1955,Corporate
CUST000418,Amy,Webb,4/6/1972,Corporate
CUST000419,Corey,Gonzalez,7/2/2005,Corporate
CUST000420,Nathan,Martinez,10/8/1965,Consumer
CUST000421,Scott,Brown,6/9/2002,Corporate
CUST000422,Cynthia,Booker,12/2/1950,Corporate
CUST000423,Kimberly,Frederick,3/17/1955,Corporate
CUST000424,Michael,King,2/8/1978,Consumer
CUST000425,Whitney,Diaz,10/17/1969,Consumer
CUST000426,Nicole,King,6/13/1991,Consumer
CUST000427,William,Cook,2/28/1975,Consumer
CUST000428,Elizabeth,Kelley,5/14/1950,Consumer
CUST000429,Eric,Martin,6/4/1995,Corporate
CUST000430,Courtney,Johnson,3/22/2013,Consumer
CUST000431,Russell,Robertson,2/22/1971,Corporate
CUST000432,Jonathon,Flynn,5/15/1969,Consumer
CUST000433,Mathew,Oneal,6/8/1958,Consumer
CUST000434,Larry,Wilson,12/30/2007,Consumer
CUST000435,Nicholas,Watkins,11/12/1968,Corporate
CUST000436,Jessica,Davis,5/20/1986,Corporate
CUST000437,Robert,Kirby,4/16/1951,Consumer
CUST000438,Joanne,Merritt,8/11/1953,Corporate
CUST000439,Jeffrey,Hamilton,7/1/2008,Consumer
CUST000440,Bruce,Garcia,10/31/1976,Corporate
CUST000441,Jill,Kelly,7/17/1984,Consumer
CUST000442,Lori,Barber,3/23/1984,Corporate
CUST000443,Brandy,Perez,8/8/2013,Consumer
CUST000444,Deborah,Martin,2/11/2007,Corporate
CUST000445,Miranda,Hall,6/19/2013,Consumer
CUST000446,Bonnie,Vargas,2/5/2002,Consumer
CUST000447,Mary,Palmer,1/28/1997,Corporate
CUST000448,Shawna,Martin,6/29/1976,Corporate
CUST000449,Andrew,Young,1/21/1995,Corporate
CUST000450,Megan,Bailey,7/10/1969,Corporate
CUST000451,Jeremy,Wallace,4/9/2005,Consumer
CUST000452,Donna,Miller,8/17/1977,Corporate
CUST000453,Justin,Alexander,7/3/2012,Consumer
CUST000454,William,Larson,7/14/1983,Consumer
CUST000455,Jeremy,Rivas,6/3/1954,Consumer
CUST000456,Richard,Dennis,8/27/1985,Consumer
CUST000457,Matthew,Rodriguez,11/20/1956,Corporate
CUST000458,Tyler,Williams,11/22/1965,Consumer
CUST000459,Jennifer,White,6/4/1985,Consumer
CUST000460,Erika,Patton,5/25/1955,Consumer
CUST000461,Margaret,Christian,8/26/1956,Corporate
CUST000462,Brian,Smith,5/13/1972,Consumer
CUST000463,Bethany,Davis,2/20/1964,Corporate
CUST000464,Timothy,Mathews,8/27/1984,Corporate
CUST000465,Mary,Bailey,2/20/1997,Consumer
CUST000466,Dominique,Gomez,5/26/1986,Corporate
CUST000467,Melanie,Hopkins,1/23/1966,Corporate
CUST000468,Leslie,Robertson,6/12/1967,Consumer
CUST000469,Heather,Barnes,2/4/2007,Corporate
CUST000470,Pamela,Johnson,4/3/1981,Consumer
CUST000471,Robin,Powell,12/5/1954,Corporate
CUST000472,Wendy,Butler,6/8/2015,Corporate
CUST000473,Crystal,Davis,1/9/1988,Corporate
CUST000474,Kelly,Estrada,12/5/1980,Corporate
CUST000475,Steve,Mullen,10/7/2015,Consumer
CUST000476,Lisa,Howell,7/1/2015,Corporate
CUST000477,Katherine,Copeland,4/3/2017,Consumer
CUST000478,Richard,Rivera,6/27/1990,Corporate
CUST000479,Laura,Roberts,5/23/1989,Corporate
CUST000480,Mary,Campos,12/1/2010,Consumer
CUST000481,Brian,Stafford,10/4/1959,Corporate
CUST000482,Jeremy,Sloan,12/15/1968,Corporate
CUST000483,Michael,Smith,7/20/2003,Corporate
CUST000484,Amy,Cox,10/31/1987,Consumer
CUST000485,Jeremiah,Harvey,1/2/1955,Corporate
CUST000486,Kevin,Gibson,6/30/1976,Consumer
CUST000487,Rebecca,Riley,4/21/2002,Corporate
CUST000488,Jennifer,Guerrero,1/24/2018,Consumer
CUST000489,Laura,Taylor,4/21/1997,Consumer
CUST000490,Christian,Shea,9/23/1991,Corporate
CUST000491,Frederick,Hartman,10/13/1954,Consumer
CUST000492,Malik,Diaz,5/28/1958,Corporate
CUST000493,Linda,Murphy,4/3/2007,Consumer
CUST000494,Sandra,Greene,9/1/1983,Corporate
CUST000495,Harold,Kelly,2/20/1989,Consumer
CUST000496,Brittany,Perez,7/21/1994,Consumer
CUST000497,Jon,Burns,3/13/2018,Corporate
CUST000498,Cheryl,Kennedy,12/1/1972,Consumer
CUST000499,Brandon,Wright,10/26/1975,Corporate
CUST000500,Justin,Hayes,11/21/1997,Consumer
CUST000501,Emily,Taylor,4/5/1988,Corporate
CUST000502,Curtis,Dominguez,8/16/1957,Consumer
CUST000503,Stephanie,Sandoval,5/13/1964,Corporate
CUST000504,Lisa,Soto,6/4/1980,Corporate
CUST000505,Keith,Perez,8/8/1988,Consumer
CUST000506,Daniel,Thomas,11/1/1967,Corporate
CUST000507,Jacqueline,Thompson,10/20/2006,Consumer
CUST000508,Nicole,Porter,5/29/1989,Consumer
CUST000509,Whitney,Freeman,7/22/1995,Corporate
